Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Tag_72,默认变量表,Bool,%M7.4,,True,True,True,,
Tag_73,默认变量表,Bool,%M7.5,,True,True,True,,
Tag_75,默认变量表,Bool,%M7.6,,True,True,True,,
Tag_76,默认变量表,Bool,%M7.7,,True,True,True,,
Tag_77,默认变量表,Bool,%M8.0,,True,True,True,,
Tag_78,默认变量表,Bool,%M8.1,,True,True,True,,
Tag_80,默认变量表,Bool,%M8.2,,True,True,True,,
Tag_81,默认变量表,Bool,%M8.3,,True,True,True,,
Tag_82,默认变量表,Bool,%M8.4,,True,True,True,,
Tag_83,默认变量表,Bool,%M8.5,,True,True,True,,
Tag_85,默认变量表,Bool,%M8.6,,True,True,True,,
Tag_86,默认变量表,Bool,%M8.7,,True,True,True,,
Tag_87,默认变量表,Bool,%M9.0,,True,True,True,,
Tag_88,默认变量表,Bool,%M9.1,,True,True,True,,
Tag_90,默认变量表,Bool,%M9.2,,True,True,True,,
Tag_91,默认变量表,Bool,%M9.3,,True,True,True,,
Tag_92,默认变量表,Bool,%M9.4,,True,True,True,,
Tag_93,默认变量表,Bool,%M9.5,,True,True,True,,
Tag_95,默认变量表,Bool,%M9.6,,True,True,True,,
Tag_96,默认变量表,Bool,%M9.7,,True,True,True,,
Tag_97,默认变量表,Bool,%M10.0,,True,True,True,,
Tag_98,默认变量表,Bool,%M10.1,,True,True,True,,
Tag_100,默认变量表,Bool,%M10.2,,True,True,True,,
Tag_101,默认变量表,Bool,%M10.3,,True,True,True,,
Tag_102,默认变量表,Bool,%M10.4,,True,True,True,,
Tag_103,默认变量表,Bool,%M10.5,,True,True,True,,
Tag_105,默认变量表,Bool,%M10.6,,True,True,True,,
Tag_106,默认变量表,Bool,%M10.7,,True,True,True,,
Tag_107,默认变量表,Bool,%M11.0,,True,True,True,,
Tag_108,默认变量表,Bool,%M11.1,,True,True,True,,
Tag_110,默认变量表,Bool,%M11.2,,True,True,True,,
Tag_111,默认变量表,Bool,%M11.3,,True,True,True,,
Tag_112,默认变量表,Bool,%M11.4,,True,True,True,,
Tag_113,默认变量表,Bool,%M11.5,,True,True,True,,
Tag_115,默认变量表,Bool,%M11.6,,True,True,True,,
Tag_116,默认变量表,Bool,%M11.7,,True,True,True,,
Tag_117,默认变量表,Bool,%M12.0,,True,True,True,,
Tag_118,默认变量表,Bool,%M12.1,,True,True,True,,
Tag_120,默认变量表,Bool,%M23.1,,True,True,True,,
Tag_121,默认变量表,Bool,%M23.2,,True,True,True,,
Tag_123,默认变量表,Bool,%M24.1,,True,True,True,,
Tag_124,默认变量表,Bool,%M24.2,,True,True,True,,
Tag_125,默认变量表,Bool,%M24.3,,True,True,True,,
Tag_126,默认变量表,Bool,%M24.4,,True,True,True,,
Tag_128,默认变量表,Bool,%M25.1,,True,True,True,,
Tag_129,默认变量表,Bool,%M25.2,,True,True,True,,
Tag_130,默认变量表,Bool,%M25.3,,True,True,True,,
Tag_131,默认变量表,Bool,%M25.4,,True,True,True,,
Tag_133,默认变量表,Bool,%M26.1,,True,True,True,,
Tag_134,默认变量表,Bool,%M26.2,,True,True,True,,
Tag_135,默认变量表,Bool,%M26.3,,True,True,True,,
Tag_136,默认变量表,Bool,%M26.4,,True,True,True,,
Tag_138,默认变量表,Bool,%M27.1,,True,True,True,,
Tag_139,默认变量表,Bool,%M27.2,,True,True,True,,
Tag_140,默认变量表,Bool,%M27.3,,True,True,True,,
Tag_141,默认变量表,Bool,%M27.4,,True,True,True,,
Tag_142,默认变量表,Bool,%M28.4,,True,True,True,,
Tag_143,默认变量表,Bool,%M28.3,,True,True,True,,
Tag_144,默认变量表,Bool,%M28.2,,True,True,True,,
Tag_145,默认变量表,Bool,%M28.1,,True,True,True,,
Tag_146,默认变量表,Bool,%M0.1,,True,True,True,,
Tag_147,默认变量表,Bool,%M0.2,,True,True,True,,
Tag_148,默认变量表,Real,%MD104,,True,True,True,,
Tag_149,默认变量表,Time,%MD112,,True,True,True,,
Tag_150,默认变量表,Time,%MD116,,True,True,True,,
Tag_151,默认变量表,Real,%MD108,,True,True,True,,
Tag_152,默认变量表,Real,%MD120,,True,True,True,,
Tag_153,默认变量表,Real,%MD124,,True,True,True,,
Tag_199,默认变量表,Time,%MD128,,True,True,True,,
Tag_201,默认变量表,Bool,%M29.1,,True,True,True,,
Tag_202,默认变量表,Bool,%M29.2,,True,True,True,,
Tag_203,默认变量表,Bool,%M29.3,,True,True,True,,
Tag_204,默认变量表,Bool,%M29.4,,True,True,True,,
Tag_205,默认变量表,Bool,%M30.1,,True,True,True,,
Tag_206,默认变量表,Bool,%M30.2,,True,True,True,,
Tag_207,默认变量表,Bool,%M30.3,,True,True,True,,
Tag_208,默认变量表,Bool,%M30.4,,True,True,True,,
Tag_209,默认变量表,Bool,%M31.1,,True,True,True,,
Tag_210,默认变量表,Bool,%M32.2,,True,True,True,,
Tag_211,默认变量表,Bool,%M31.3,,True,True,True,,
Tag_212,默认变量表,Bool,%M31.4,,True,True,True,,
Tag_213,默认变量表,Bool,%M32.1,,True,True,True,,
Tag_214,默认变量表,Bool,%M32.3,,True,True,True,,
Tag_215,默认变量表,Bool,%M32.4,,True,True,True,,
Tag_216,默认变量表,Bool,%M33.1,,True,True,True,,
Tag_217,默认变量表,Bool,%M33.2,,True,True,True,,
Tag_218,默认变量表,Bool,%M33.3,,True,True,True,,
Tag_219,默认变量表,Bool,%M33.4,,True,True,True,,
Tag_220,默认变量表,Bool,%M34.1,,True,True,True,,
Tag_221,默认变量表,Bool,%M34.2,,True,True,True,,
Tag_222,默认变量表,Bool,%M34.3,,True,True,True,,
Tag_223,默认变量表,Bool,%M34.4,,True,True,True,,
Tag_224,默认变量表,Bool,%M35.1,,True,True,True,,
Tag_225,默认变量表,Bool,%M35.2,,True,True,True,,
Tag_226,默认变量表,Bool,%M35.3,,True,True,True,,
Tag_227,默认变量表,Bool,%M35.4,,True,True,True,,
Tag_228,默认变量表,Bool,%M36.1,,True,True,True,,
Tag_229,默认变量表,Bool,%M36.2,,True,True,True,,
Tag_230,默认变量表,Bool,%M36.3,,True,True,True,,
Tag_231,默认变量表,Bool,%M36.4,,True,True,True,,
Tag_232,默认变量表,Bool,%M37.1,,True,True,True,,
Tag_233,默认变量表,Bool,%M37.2,,True,True,True,,
Tag_234,默认变量表,Bool,%M37.3,,True,True,True,,
Tag_235,默认变量表,Bool,%M37.4,,True,True,True,,
Tag_236,默认变量表,Bool,%M38.1,,True,True,True,,
Tag_237,默认变量表,Bool,%M38.2,,True,True,True,,
Tag_238,默认变量表,Bool,%M38.3,,True,True,True,,
Tag_239,默认变量表,Bool,%M38.4,,True,True,True,,
Tag_240,默认变量表,Bool,%M39.1,,True,True,True,,
Tag_241,默认变量表,Bool,%M39.2,,True,True,True,,
Tag_242,默认变量表,Bool,%M39.3,,True,True,True,,
Tag_243,默认变量表,Bool,%M39.4,,True,True,True,,
Tag_244,默认变量表,Bool,%M40.1,,True,True,True,,
