时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-05-31 05:44:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 05:45:00,6,报警,低炉温焚烧,报警
2025-05-31 05:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:50:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 05:50:00,6,报警,低炉温焚烧,报警
2025-05-31 05:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 05:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 05:55:00,6,报警,低炉温焚烧,报警
2025-05-31 05:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:00:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:00:00,6,报警,低炉温焚烧,报警
2025-05-31 06:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:05:00,6,报警,低炉温焚烧,报警
2025-05-31 06:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:10:00,6,报警,低炉温焚烧,报警
2025-05-31 06:14:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:15:00,6,报警,低炉温焚烧,报警
2025-05-31 06:16:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 06:20:00,6,报警,低炉温焚烧,报警
2025-05-31 06:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:25:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:25:00,6,报警,低炉温焚烧,报警
2025-05-31 06:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:30:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:30:00,6,报警,低炉温焚烧,报警
2025-05-31 06:35:00,6,报警,低炉温焚烧,报警
2025-05-31 06:35:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:40:00,6,报警,低炉温焚烧,报警
2025-05-31 06:40:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 06:45:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:45:00,6,报警,低炉温焚烧,报警
2025-05-31 06:50:00,6,报警,低炉温焚烧,报警
2025-05-31 06:50:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:55:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 06:55:00,6,报警,低炉温焚烧,报警
2025-05-31 07:00:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 07:00:00,6,报警,低炉温焚烧,报警
2025-05-31 07:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-05-31 07:05:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 07:05:00,6,报警,低炉温焚烧,报警
2025-05-31 07:10:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 07:10:00,6,报警,低炉温焚烧,报警
2025-05-31 07:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 07:15:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 07:15:00,6,报警,低炉温焚烧,报警
2025-05-31 07:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-05-31 07:20:00,6,报警,低炉温焚烧,报警
2025-05-31 07:20:00,6,预警,瞬时低炉温焚烧,预警
2025-05-31 07:20:00,5,预警,焚烧炉出口氧含量偏低,预警
