时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2025-01-08 10:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:52:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 10:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 10:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:02:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 11:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 11:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 11:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:18:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:42:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 12:54:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 12:56:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:02:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 13:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:26:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 13:26:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 13:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:48:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:56:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 13:58:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 13:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 14:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 14:08:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 14:20:00,5,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 14:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 14:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 14:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 14:42:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 14:46:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 14:50:00,3,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 15:04:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 15:06:00,3,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 15:08:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:10:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:18:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 15:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:54:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 15:58:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 16:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 16:10:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 16:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 16:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 16:54:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:00:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:06:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:14:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:16:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:22:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:24:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:40:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:42:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:48:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 17:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 17:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:12:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:26:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:34:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:34:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 18:38:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 19:02:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:18:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:22:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:22:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:28:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:32:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 19:36:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 19:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:48:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 19:58:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 20:32:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 20:34:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 20:40:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 20:44:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 20:50:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 20:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 20:56:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:04:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 21:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:38:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:40:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:46:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 21:50:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:06:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:06:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:12:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:16:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:28:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 22:36:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:46:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 22:52:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:00:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:04:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:20:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:20:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 23:20:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:24:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:30:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:30:00,6,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:30:00,5,预警,焚烧炉出口氧含量偏低,预警
2025-01-08 23:36:00,3,预警,焚烧炉出口氧含量偏高,预警
2025-01-08 23:40:00,6,预警,焚烧炉出口氧含量偏高,预警
